family,scenario,repetition,seed,method,rmse,mae,r2,coef_rmse,coef_correlation,train_aicc,train_adj_r2,train_enp,ari,nmi,boundary_f1,distance_correlation,knn_overlap,converged,n_iter,fit_seconds
GR,R3,1,20390720,GWR,1.190553501,0.9025538608,0.6899119741,0.8629725098,0.840265296,1333.412037,0.7025971355,42.17962346,,,,,,,,0.078080314
GR,R3,1,20390720,GR-GWR,0.7382461047,0.5232897861,0.8807689162,0.6552098723,0.8934746611,931.4202167,0.8901766055,32.43099563,0.7773595583,0.8047469728,0.723880597,,,True,2,0.432499995
GR,R3,2,20390721,OLS,2.350354393,1.883085964,0.01871034752,1.541849097,,,,,,,,,,,,0.000167528
GR,R3,2,20390721,GWR,1.387998086,0.8293779987,0.657777743,0.7595879256,0.8761743914,1261.261831,0.7466058524,42.28175829,,,,,,,,0.066308089
GR,R3,2,20390721,GR-GWR,1.31011055,0.5692847673,0.6951077364,0.5249557941,0.9319733055,574.7772147,0.9539344088,30.678849,0.9848860815,0.9730973321,0.9428571429,,,True,2,0.402080904
GR,R4,0,20400719,OLS,1.950454507,1.32269083,0.3281494368,1.278707213,,,,,,,,,,,,0.000123462
GR,R4,0,20400719,GWR,1.33092319,0.8755592271,0.6871709905,0.7867809479,0.6683892666,1308.567684,0.740759797,42.66921715,,,,,,,,0.06739196
GR,R4,0,20400719,GR-GWR,1.249471522,0.6183997415,0.7242892121,0.5626843225,0.8001176282,827.2325079,0.9225195904,41.05271353,0.9648787187,0.9000902288,0.8644688645,,,True,4,0.868838602
GR,R4,1,20400720,OLS,1.677318256,1.271752544,0.4177322507,1.200805635,,,,,,,,,,,,0.000116632
GR,R4,1,20400720,GWR,1.315402647,0.8294152436,0.6418959682,0.8625639075,0.7592887903,1333.381754,0.714287199,42.47992721,,,,,,,,0.07513329
GR,R4,1,20400720,GR-GWR,0.7708340813,0.4850672145,0.8770259137,0.7925464089,0.7599109365,615.1883033,0.9527816274,40.95406141,0.9940501781,0.9729401067,0.9355932203,,,True,8,1.390697848
GR,R4,2,20400721,OLS,1.739585233,1.169145131,0.3641978143,1.124814169,,,,,,,,,,,,0.00012181
GR,R4,2,20400721,GWR,1.329347391,0.793805172,0.6287148605,0.7913905243,0.7153452321,1411.569584,0.6363900072,43.61988715,,,,,,,,0.061594063
GR,R4,2,20400721,GR-GWR,0.4952688562,0.3755758438,0.9484637718,0.06251107007,0.9991199428,628.3709132,0.9489597598,42.3403909,1,1,1,,,True,4,0.736347421
GR,R5,0,20410719,OLS,1.674732936,1.196036622,0.4836356199,1.008270696,-1.07040563e-16,,,,,,,,,,,7.1005e-05
GR,R5,0,20410719,GWR,0.5429569442,0.4231787692,0.9457254868,0.1295968488,0.9916457318,689.0535473,0.9373936378,42.92573251,,,,,,,,0.062733908
GR,R5,0,20410719,GR-GWR,0.5429569501,0.4231787775,0.9457254856,0.129596861,0.9916457307,689.0535582,0.9373936353,42.92572509,1,1,1,,,True,0,0.287086168
GR,R5,1,20410720,OLS,1.731077533,1.341192493,0.3499867162,1.078915978,,,,,,,,,,,,0.000121349
GR,R5,1,20410720,GWR,0.5652124974,0.4684845413,0.930703276,0.1462176014,0.9930140302,758.8638586,0.9203071722,42.50339493,,,,,,,,0.064558834
GR,R5,1,20410720,GR-GWR,0.565212511,0.4684845491,0.9307032726,0.1462176195,0.9930140295,758.8638686,0.9203071693,42.50338763,1,1,1,,,True,0,0.2818502
GR,R5,2,20410721,OLS,1.578526703,1.21625375,0.3325510606,1.041846019,-2.384774291e-16,,,,,,,,,,,0.000157042
GR,R5,2,20410721,GWR,0.5755247892,0.4629920753,0.9112757677,0.160210693,0.9893007421,662.4566064,0.9388018162,42.90619709,,,,,,,,0.061922609
GR,R5,2,20410721,GR-GWR,0.5755247975,0.4629920818,0.9112757652,0.1602107058,0.9893007421,662.4566155,0.938801814,42.90618983,1,1,1,,,True,0,0.285445752
